S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S40	S8	S9
Otu00001	1023	0	962	708	1283	657	55817	46240	23167	29452	2861	0	21026	0	0	0	0	0	0	0	4614	10908	0	0	0	0	0	0	377	0	329	0
Otu00002	10132	8626	8337	3394	7172	4501	7634	5155	4255	4313	13784	0	4980	6100	6401	7861	1526	3826	3602	8806	887	291	0	354	0	1316	1395	2885	5216	7882	11868	558
Otu00003	4726	5926	7955	4818	8122	6687	10411	8684	4741	4618	7385	0	9002	4299	4729	4877	2515	3086	760	1904	3617	3150	1589	0	0	1239	454	2961	6134	0	6457	0
Otu00004	414	0	2320	908	1781	1229	775	542	406	395	1866	0	778	692	497	514	0	8177	12531	10857	17250	40996	0	0	322	4995	2436	2117	0	2075	488	0
Otu00005	6133	3826	6331	2731	5568	3701	5702	4124	2859	2912	9110	0	3081	4820	4088	6102	1087	3069	2974	6808	1014	365	0	0	0	1612	2044	2315	2904	5064	6593	426
Otu00006	5034	3116	4372	2155	3734	2830	7129	6006	4276	4109	7716	0	6613	3028	1671	3408	1777	3230	3826	5156	2743	1616	1808	0	0	840	1145	2339	2865	2452	3725	385
Otu00007	928	365	1780	639	1581	966	432	0	0	0	831	0	906	2208	2015	1640	323	7149	4279	27616	4455	10217	0	0	0	9350	4853	5057	312	8870	1516	0
Otu00008	3666	4084	4328	2372	3917	3431	5731	4753	3430	3571	6888	0	5109	2302	1097	2438	954	4893	2997	5644	2191	1998	3129	0	0	766	1006	1742	2250	1191	3967	0
Otu00009	1324	0	5706	1870	4841	3214	1021	620	454	409	1217	0	1473	2285	1719	2124	493	3572	2225	13153	0	0	0	0	0	14130	6679	4626	923	9959	1846	0
Otu00010	2134	0	724	490	986	555	5296	5277	1919	2462	1364	0	2873	6776	9444	6436	3508	0	0	0	0	0	0	0	0	1267	872	766	0	318	1244	0
Otu00011	725	367	2813	1425	2970	2105	2304	1985	1153	1306	1963	0	2232	2783	1379	2687	645	1180	419	1987	4145	11843	0	0	0	997	714	1569	960	1051	921	0
Otu00012	724	358	1413	776	1392	849	1267	1061	664	690	2170	0	990	1194	899	1439	321	884	1205	2255	501	0	0	0	0	1281	1229	1441	813	1807	536	0
Otu00013	662	0	6758	2793	6074	2337	617	642	0	0	1325	0	1185	0	0	370	0	0	0	369	0	340	0	0	0	0	0	0	1304	495	1417	0
Otu00014	649	0	708	354	674	467	1283	1175	898	938	1727	0	1542	469	0	465	0	1057	1427	1772	2357	1484	3015	0	0	511	705	704	0	361	311	0
Otu00015	0	0	0	0	0	0	1114	1084	448	592	625	0	528	3180	4448	3015	1778	0	487	0	752	1959	0	0	0	560	649	0	0	958	0	0
Otu00016	0	0	420	0	353	0	0	0	0	0	0	0	0	0	0	0	0	6154	4658	7686	0	351	0	0	289	939	503	372	0	0	0	0
Otu00017	325	0	1402	902	2095	1052	1274	1324	616	707	511	0	1076	1229	1625	1263	1111	606	287	512	0	0	0	0	0	554	450	684	1241	396	343	0
Otu00018	647	0	908	534	838	653	1392	1203	719	815	1728	0	1464	1000	386	944	369	683	460	1146	968	522	1260	0	0	0	0	735	393	539	396	0
Otu00019	480	1163	1876	962	1944	1400	1356	1246	517	600	634	0	1096	900	657	919	349	483	0	0	437	412	0	0	0	0	0	713	1206	0	821	0
Otu00020	1050	931	1039	416	844	577	985	661	458	426	1397	0	529	1119	635	1355	0	365	0	716	0	0	0	0	0	0	0	536	1000	1603	1014	0
Otu00021	686	285	927	344	1104	451	818	587	448	446	800	0	624	1040	841	1034	0	632	636	1363	0	0	0	0	0	0	0	336	447	1307	539	0
Otu00022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4002	9757	0	0	0	0	0	0	0	0	0	0
Otu00023	0	0	1131	706	1502	855	720	688	0	0	391	0	796	333	369	0	0	0	0	0	0	0	0	0	0	1845	1368	1260	371	0	0	0
